"","Buggy","Free"
"1",0.006,0.994
"2",0,1
"3",0.886,0.114
"4",0,1
"5",0.226,0.774
"6",0.066,0.934
"7",0.352,0.648
"8",0.308,0.692
"9",0.034,0.966
"10",0.23,0.77
"11",0.008,0.992
"12",0,1
"13",0.012,0.988
"14",0.032,0.968
"15",0.048,0.952
"16",0.37,0.63
"17",0.028,0.972
"18",0.03,0.97
"19",0.24,0.76
"20",0.052,0.948
"21",0.132,0.868
"22",0.084,0.916
"23",0.78,0.22
"24",0.088,0.912
"25",0.018,0.982
"26",0.064,0.936
"27",0.05,0.95
"28",0.12,0.88
"29",0.122,0.878
"30",0.048,0.952
"31",0.026,0.974
"32",0.514,0.486
"33",0.05,0.95
"34",0.06,0.94
"35",0.322,0.678
"36",0.026,0.974
"37",0.024,0.976
"38",0.268,0.732
"39",0.926,0.074
"40",0.09,0.91
"41",0.666,0.334
"42",0.038,0.962
"43",0.182,0.818
"44",0.21,0.79
"45",0.056,0.944
"46",0.218,0.782
"47",0.232,0.768
"48",0.066,0.934
"49",0.748,0.252
"50",0.148,0.852
"51",0.492,0.508
"52",0.348,0.652
"53",0.01,0.99
"54",0,1
"55",0.73,0.27
"56",0.026,0.974
"57",0.012,0.988
"58",0.012,0.988
"59",0.058,0.942
"60",0.086,0.914
"61",0.04,0.96
"62",0.196,0.804
"63",0.434,0.566
"64",0.538,0.462
"65",0.37,0.63
"66",0.038,0.962
"67",0.01,0.99
"68",0.038,0.962
"69",0.126,0.874
"70",0.494,0.506
"71",0,1
"72",0.012,0.988
"73",0.016,0.984
"74",0.016,0.984
"75",0.488,0.512
"76",0.12,0.88
"77",0.058,0.942
"78",0.402,0.598
"79",0.16,0.84
"80",0.672,0.328
"81",0.034,0.966
"82",0.048,0.952
"83",0.03,0.97
"84",0.07,0.93
"85",0.458,0.542
"86",0.182,0.818
"87",0.054,0.946
"88",0.04,0.96
"89",0.56,0.44
"90",0.096,0.904
"91",0.648,0.352
"92",0.538,0.462
"93",0.032,0.968
"94",0.006,0.994
"95",0.054,0.946
"96",0.602,0.398
"97",0.408,0.592
"98",0.136,0.864
"99",0.026,0.974
"100",0.036,0.964
"101",0.042,0.958
"102",0.066,0.934
"103",0.022,0.978
"104",0.496,0.504
"105",0.054,0.946
"106",0.052,0.948
"107",0.11,0.89
"108",0.026,0.974
"109",0.028,0.972
"110",0.458,0.542
"111",0,1
"112",0.038,0.962
"113",0.004,0.996
"114",0.022,0.978
"115",0.072,0.928
"116",0.046,0.954
"117",0.648,0.352
"118",0.044,0.956
"119",0.026,0.974
"120",0.198,0.802
"121",0.012,0.988
"122",0.082,0.918
"123",0.432,0.568
"124",0.076,0.924
"125",0.148,0.852
"126",0.028,0.972
"127",0.034,0.966
"128",0.248,0.752
"129",0.004,0.996
"130",0.13,0.87
"131",0.046,0.954
"132",0.71,0.29
"133",0.066,0.934
"134",0.416,0.584
"135",0.03,0.97
"136",0.024,0.976
"137",0.092,0.908
"138",0.028,0.972
"139",0.278,0.722
"140",0.004,0.996
"141",0.002,0.998
"142",0.09,0.91
"143",0.062,0.938
"144",0,1
"145",0.468,0.532
"146",0.088,0.912
"147",0.174,0.826
"148",0.26,0.74
"149",0.326,0.674
"150",0.01,0.99
"151",0.076,0.924
"152",0.096,0.904
"153",0.584,0.416
"154",0.028,0.972
"155",0.066,0.934
"156",0.13,0.87
"157",0.124,0.876
"158",0,1
"159",0.08,0.92
"160",0.742,0.258
"161",0.672,0.328
"162",0.064,0.936
"163",0.274,0.726
"164",0.438,0.562
"165",0.058,0.942
"166",0.05,0.95
"167",0.03,0.97
"168",0.018,0.982
"169",0.288,0.712
"170",0.212,0.788
"171",0.026,0.974
"172",0.792,0.208
"173",0.03,0.97
"174",0.64,0.36
"175",0.024,0.976
"176",0.15,0.85
"177",0.042,0.958
"178",0.05,0.95
"179",0.212,0.788
"180",0.724,0.276
"181",0.91,0.09
"182",0,1
"183",0.014,0.986
"184",0.06,0.94
